epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,822.317,1.08343,8.90117,0.54818,0.87431,1.47485,0.86611,0.80945,0.89592,0.65948,0.44423,0.22836,0.12843,0.01962,1.13048,7.3316,0.24173,0.86266,1.51419,0.000666083,0.000666083,0.000666083
2,1625.65,1.04654,7.4138,0.40858,0.82053,1.41029,0.90667,0.91957,0.96511,0.75265,0.77271,0.45978,0.44459,0.14799,0.90699,5.57966,0.12145,0.64358,1.28799,0.00124479,0.00124479,0.00124479
3,2425.33,0.96479,6.57892,0.37121,0.72633,1.34089,0.90369,0.91818,0.96695,0.75875,0.81274,0.51998,0.53326,0.24901,0.8986,4.83848,0.12125,0.5739,1.25432,0.00173549,0.00173549,0.00173549
4,3225.49,0.91924,6.08841,0.34285,0.67504,1.29728,0.9305,0.92594,0.97474,0.7769,0.71601,0.47662,0.4287,0.2128,0.86502,4.84346,0.13772,0.51651,1.23319,0.001604,0.001604,0.001604
5,4022.15,0.85458,5.58718,0.31921,0.60777,1.24848,0.94769,0.95594,0.98348,0.82542,0.80869,0.5812,0.60113,0.34595,0.75062,4.13235,0.09378,0.43776,1.13948,0.001472,0.001472,0.001472
6,4823.33,0.73935,4.35123,0.10722,0.46819,1.19479,0.94489,0.95505,0.98252,0.81598,0.79376,0.61269,0.63351,0.40574,0.7812,3.79061,0.0478,0.44748,1.14463,0.00134,0.00134,0.00134
7,5620.34,0.69236,3.88629,0.09752,0.42802,1.15184,0.95895,0.95431,0.98537,0.83295,0.65315,0.55815,0.45571,0.26313,0.7196,4.01429,0.04214,0.40713,1.09503,0.001208,0.001208,0.001208
8,6412.95,0.66372,3.63119,0.0891,0.39824,1.12646,0.95746,0.96568,0.9874,0.86079,0.82837,0.69723,0.7368,0.49537,0.65495,3.12412,0.03719,0.37043,1.05154,0.001076,0.001076,0.001076
9,7209.2,0.6337,3.40211,0.08397,0.37335,1.10285,0.96827,0.96533,0.98877,0.87481,0.81025,0.73706,0.76535,0.53585,0.62588,2.87102,0.03883,0.34211,1.03075,0.000944,0.000944,0.000944
10,8005.95,0.60492,3.19574,0.08339,0.35351,1.08106,0.9689,0.97029,0.98985,0.8685,0.82502,0.74603,0.76037,0.53682,0.65478,2.80621,0.03509,0.34382,1.03828,0.000812,0.000812,0.000812
11,8802.38,0.58632,3.01836,0.0812,0.33973,1.06621,0.9712,0.96593,0.98953,0.87797,0.82621,0.77459,0.77692,0.55204,0.59732,2.63512,0.03295,0.33069,1.00727,0.00068,0.00068,0.00068
12,9598.31,0.56148,2.8762,0.07764,0.32032,1.0518,0.97526,0.97458,0.99084,0.88313,0.83788,0.78506,0.80066,0.586,0.61195,2.53378,0.03195,0.31499,1.00139,0.000548,0.000548,0.000548
13,10393.6,0.54099,2.73205,0.07569,0.30505,1.0344,0.97278,0.97494,0.99129,0.89235,0.83784,0.79934,0.81594,0.60491,0.57789,2.41853,0.03075,0.29624,0.98584,0.000416,0.000416,0.000416
14,11188.7,0.52081,2.58942,0.07338,0.28895,1.02031,0.97244,0.97625,0.99112,0.89537,0.85056,0.8011,0.81933,0.61593,0.55947,2.3378,0.03099,0.28885,0.96756,0.000284,0.000284,0.000284
15,11984.2,0.49645,2.45906,0.07312,0.27424,1.00637,0.97102,0.9783,0.99137,0.89969,0.86142,0.80566,0.83088,0.62957,0.54567,2.26416,0.02899,0.27601,0.96187,0.000152,0.000152,0.000152
