epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.888,1.00585,8.64658,0.57203,0.78527,1.34649,0.88156,0.8408,0.92696,0.68773,0.69659,0.36885,0.32394,0.07433,1.0475,6.2613,0.22341,0.71726,1.41202,0.000666083,0.000666083,0.000666083
2,597.333,0.97619,6.88208,0.41671,0.70205,1.30344,0.92238,0.90705,0.9663,0.75461,0.8359,0.50299,0.51719,0.25228,0.91568,4.80734,0.15565,0.57587,1.25334,0.00124479,0.00124479,0.00124479
3,851.267,0.94534,6.264,0.37205,0.66232,1.27407,0.93429,0.9378,0.97187,0.77136,0.66542,0.46196,0.3879,0.19148,0.8712,4.79193,0.12688,0.50234,1.22896,0.00173549,0.00173549,0.00173549
4,1090.63,0.88885,5.71564,0.34123,0.61914,1.23889,0.93872,0.94262,0.97892,0.79374,0.76478,0.56865,0.55089,0.32236,0.82586,4.01849,0.11989,0.5141,1.19394,0.001604,0.001604,0.001604
5,1327.57,0.84824,5.27069,0.32106,0.57854,1.21114,0.95002,0.93968,0.98269,0.80599,0.55908,0.46376,0.33367,0.17561,0.8034,4.49497,0.10539,0.45086,1.16718,0.001472,0.001472,0.001472
6,1624.63,0.73049,4.06364,0.10931,0.44185,1.16865,0.95338,0.95287,0.98498,0.81342,0.81574,0.66794,0.69392,0.49586,0.79714,3.09739,0.04146,0.43653,1.13173,0.00134,0.00134,0.00134
7,1870.5,0.69144,3.66749,0.09507,0.40975,1.13868,0.966,0.96418,0.98834,0.85098,0.79969,0.71376,0.72858,0.52057,0.70298,2.94905,0.03944,0.38893,1.08609,0.001208,0.001208,0.001208
8,2113.94,0.65288,3.44602,0.09083,0.38473,1.10899,0.95996,0.96427,0.98818,0.85145,0.80856,0.70428,0.70823,0.52144,0.68079,2.84217,0.03828,0.3719,1.05534,0.001076,0.001076,0.001076
9,2358.48,0.62813,3.2353,0.08622,0.36336,1.08798,0.9635,0.96875,0.9896,0.87122,0.83138,0.74889,0.77646,0.58381,0.63602,2.57416,0.03529,0.34122,1.03491,0.000944,0.000944,0.000944
10,2603.11,0.60721,3.09212,0.08531,0.34946,1.07419,0.96478,0.96849,0.98967,0.87901,0.83235,0.75794,0.78245,0.59881,0.61363,2.48373,0.03499,0.31989,1.01329,0.000812,0.000812,0.000812
11,2855.28,0.58176,2.93272,0.08119,0.32813,1.05758,0.96693,0.97374,0.9902,0.88355,0.83545,0.75819,0.77816,0.59242,0.59911,2.44543,0.03334,0.31669,1.00653,0.00068,0.00068,0.00068
12,3093.93,0.5601,2.78728,0.07964,0.31247,1.03914,0.97132,0.97144,0.99094,0.88227,0.82688,0.77934,0.7833,0.6065,0.60636,2.36187,0.03392,0.30594,0.99745,0.000548,0.000548,0.000548
13,3330.46,0.5434,2.65931,0.07794,0.30209,1.03114,0.97128,0.97643,0.99097,0.89545,0.84039,0.79969,0.81616,0.64613,0.57,2.20555,0.03043,0.29195,0.97977,0.000416,0.000416,0.000416
14,3566.54,0.52173,2.53959,0.07578,0.28739,1.01919,0.97466,0.97543,0.99138,0.89255,0.8454,0.80892,0.81046,0.64626,0.57143,2.1524,0.03013,0.28472,0.97663,0.000284,0.000284,0.000284
15,3800.22,0.50285,2.42512,0.07451,0.27496,1.00696,0.97421,0.97745,0.99143,0.89844,0.84202,0.81506,0.8193,0.66431,0.55208,2.09024,0.02985,0.27429,0.96362,0.000152,0.000152,0.000152
